sample_index,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,relation,response,eligible,delta_arrival_time_s,pet_s,spatial_min_dist_m,num_positives,num_hard_negatives,num_negatives,trainable_anchor
0,10046aa6cf702930,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10046aa6cf702930_focus_3426_src4.npz,3426,1024,1,75,65,10,other_leads_focus,decelerates,1,1.100000023841858,1.100000023841858,0.5648725628852844,2,4,4,1
1,10046aa6cf702930,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10046aa6cf702930_focus_3426_src4.npz,3426,1024,1,75,55,20,other_leads_focus,decelerates,1,1.100000023841858,1.100000023841858,0.5648725628852844,2,4,4,1
2,10046aa6cf702930,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10046aa6cf702930_focus_3426_src4.npz,3426,1024,1,75,45,30,other_leads_focus,decelerates,1,1.100000023841858,1.100000023841858,0.5648725628852844,2,4,4,1
3,10046aa6cf702930,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10046aa6cf702930_focus_3426_src4.npz,3426,1014,2,51,41,10,converging_conflict,ambiguous,0,2.4000000953674316,2.4000000953674316,0.06260621547698975,0,0,0,0
4,10046aa6cf702930,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10046aa6cf702930_focus_3426_src4.npz,3426,1014,2,51,31,20,converging_conflict,ambiguous,0,2.4000000953674316,2.4000000953674316,0.06260621547698975,0,0,0,0
5,10046aa6cf702930,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10046aa6cf702930_focus_3426_src4.npz,3426,1014,2,51,21,30,converging_conflict,ambiguous,0,2.4000000953674316,2.4000000953674316,0.06260621547698975,0,0,0,0
6,1006d45e445eb616,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1006d45e445eb616_focus_36_src4.npz,36,31,2,37,27,10,converging_conflict,ambiguous,0,2.4000000953674316,2.4000000953674316,0.40634214878082275,0,0,0,0
7,10078970a590c5b3,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10078970a590c5b3_focus_62_src0.npz,62,80,1,74,64,10,other_follows_focus,decelerates,1,-1.100000023841858,1.100000023841858,0.8299747109413147,0,0,4,0
8,10078970a590c5b3,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10078970a590c5b3_focus_62_src0.npz,62,80,1,74,54,20,other_follows_focus,decelerates,1,-1.100000023841858,1.100000023841858,0.8299747109413147,0,0,4,0
9,10078970a590c5b3,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/10078970a590c5b3_focus_62_src0.npz,62,80,1,74,44,30,other_follows_focus,decelerates,1,-1.100000023841858,1.100000023841858,0.8299747109413147,0,2,4,0
10,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,9,1,84,74,10,other_follows_focus,maintains,1,-0.6000000238418579,0.6000000238418579,2.445319414138794,2,4,4,1
11,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,9,1,84,64,20,other_follows_focus,maintains,1,-0.6000000238418579,0.6000000238418579,2.445319414138794,2,4,4,1
12,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,9,1,84,54,30,other_follows_focus,maintains,1,-0.6000000238418579,0.6000000238418579,2.445319414138794,2,4,4,1
13,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,7,2,84,74,10,other_leads_focus,maintains,1,0.0,0.0,3.4294331073760986,2,4,4,1
14,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,7,2,84,64,20,other_leads_focus,maintains,1,0.0,0.0,3.4294331073760986,2,4,4,1
15,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,7,2,84,54,30,other_leads_focus,maintains,1,0.0,0.0,3.4294331073760986,2,4,4,1
16,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,4,3,61,51,10,converging_conflict,goes_first,1,-2.799999952316284,2.799999952316284,3.3507397174835205,2,1,4,1
17,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,4,3,61,41,20,converging_conflict,goes_first,1,-2.799999952316284,2.799999952316284,3.3507397174835205,2,0,4,0
18,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,4,3,61,31,30,converging_conflict,goes_first,1,-2.799999952316284,2.799999952316284,3.3507397174835205,2,2,4,1
19,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,10,5,31,21,10,other_follows_focus,maintains,1,-0.30000001192092896,0.30000001192092896,3.2015745639801025,2,4,4,1
20,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,5,7,36,26,10,converging_conflict,goes_first,1,-2.5999999046325684,2.5999999046325684,3.55938982963562,2,1,4,1
21,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,3,10,31,21,10,converging_conflict,ambiguous,0,1.7000000476837158,1.7000000476837158,0.05483691766858101,0,0,0,0
22,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,11,12,64,54,10,converging_conflict,ambiguous,0,1.2000000476837158,1.2000000476837158,3.6653645038604736,0,0,0,0
23,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,11,12,64,44,20,converging_conflict,ambiguous,0,1.2000000476837158,1.2000000476837158,3.6653645038604736,0,0,0,0
24,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,11,12,64,34,30,converging_conflict,ambiguous,0,1.2000000476837158,1.2000000476837158,3.6653645038604736,0,0,0,0
25,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,255,13,49,39,10,converging_conflict,goes_first,1,-2.299999952316284,2.299999952316284,0.07674805819988251,2,0,4,0
26,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,255,13,49,29,20,converging_conflict,goes_first,1,-2.299999952316284,2.299999952316284,0.07674805819988251,2,1,4,1
27,1008dddca3191ecb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1008dddca3191ecb_focus_1_src0.npz,1,255,13,49,19,30,converging_conflict,goes_first,1,-2.299999952316284,2.299999952316284,0.07674805819988251,2,2,4,1
28,101503a419680622,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101503a419680622_focus_6349_src4.npz,6349,4638,2,63,53,10,crossing_or_oncoming_conflict,goes_first,1,-2.700000047683716,2.700000047683716,3.936652898788452,2,0,4,0
29,101503a419680622,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101503a419680622_focus_6349_src4.npz,6349,4638,2,63,43,20,crossing_or_oncoming_conflict,goes_first,1,-2.700000047683716,2.700000047683716,3.936652898788452,2,0,4,0
30,101503a419680622,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/101503a419680622_focus_6349_src4.npz,6349,4638,2,63,33,30,crossing_or_oncoming_conflict,goes_first,1,-2.700000047683716,2.700000047683716,3.936652898788452,2,0,4,0
