anchor_index,role,rank,sample_index,distance,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,lead_time_s,relation,response,focus_type,candidate_type,delta_arrival_time_s,pet_s,spatial_min_dist_m,figure
12787,anchor,0,12787,,abc54ae9763f9909,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/abc54ae9763f9909_focus_2563_src4.npz,2563,4579,8,80,50,30,3.0,other_follows_focus,maintains,vehicle,vehicle,0.0,1.0,4.139598846435547,anchor_12787_other_follows_focus_maintains_lead30/anchor/anchor_00_idx12787.png
12787,positive,1,1217,10.187018394470215,1d30a4d372d4fcf9,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1d30a4d372d4fcf9_focus_3602_src1.npz,3602,3598,1,77,47,30,3.0,other_follows_focus,maintains,vehicle,vehicle,-1.100000023841858,1.100000023841858,0.6156076192855835,anchor_12787_other_follows_focus_maintains_lead30/positive/positive_01_idx01217_d10.19.png
12787,positive,2,18600,10.705008506774902,ef66e75c2259dd70,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/ef66e75c2259dd70_focus_220_src4.npz,220,125,1,68,38,30,3.0,other_follows_focus,maintains,vehicle,vehicle,-1.2999999523162842,1.2999999523162842,0.5871689915657043,anchor_12787_other_follows_focus_maintains_lead30/positive/positive_02_idx18600_d10.71.png
12787,hard_negative,1,15117,11.254507064819336,c620ef8c50f26190,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/c620ef8c50f26190_focus_1257_src2.npz,1257,1249,1,67,37,30,3.0,other_follows_focus,decelerates,vehicle,vehicle,-2.0,2.0,0.12481814622879028,anchor_12787_other_follows_focus_maintains_lead30/hard_negative/hard_negative_01_idx15117_d11.25.png
12787,hard_negative,2,1295,13.426797866821289,1da9f0d42b2e54b9,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1da9f0d42b2e54b9_focus_762_src1.npz,762,765,1,58,28,30,3.0,other_follows_focus,decelerates,vehicle,vehicle,-1.600000023841858,1.600000023841858,0.8223215937614441,anchor_12787_other_follows_focus_maintains_lead30/hard_negative/hard_negative_02_idx01295_d13.43.png
12787,hard_negative,3,6182,13.493823051452637,58a5d81ccac61e4e,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/58a5d81ccac61e4e_focus_2907_src2.npz,2907,2904,1,76,46,30,3.0,other_follows_focus,decelerates,vehicle,vehicle,-1.399999976158142,1.399999976158142,0.26910901069641113,anchor_12787_other_follows_focus_maintains_lead30/hard_negative/hard_negative_03_idx06182_d13.49.png
12787,hard_negative,4,2035,13.769497871398926,283c547c1908fc9c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/283c547c1908fc9c_focus_1136_src1.npz,1136,2068,1,67,37,30,3.0,other_follows_focus,decelerates,vehicle,vehicle,-1.899999976158142,1.899999976158142,0.09971378743648529,anchor_12787_other_follows_focus_maintains_lead30/hard_negative/hard_negative_04_idx02035_d13.77.png
12787,easy_negative,1,7217,21.527751922607422,64112bfb14f3f36e,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/64112bfb14f3f36e_focus_9_src0.npz,9,226,1,67,37,30,3.0,other_leads_focus,maintains,vehicle,vehicle,2.299999952316284,2.299999952316284,0.07130014896392822,anchor_12787_other_follows_focus_maintains_lead30/easy_negative/easy_negative_01_idx07217_d21.53.png
12787,easy_negative,2,19892,20.368497848510742,ff72c363b7f43c35,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/ff72c363b7f43c35_focus_632_src0.npz,632,651,13,59,29,30,3.0,other_leads_focus,decelerates,vehicle,vehicle,0.0,2.9000000953674316,4.191529273986816,anchor_12787_other_follows_focus_maintains_lead30/easy_negative/easy_negative_02_idx19892_d20.37.png
12787,easy_negative,3,16328,18.71109390258789,d3a5880b7340cc69,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/d3a5880b7340cc69_focus_1048_src6.npz,1048,384,1,75,45,30,3.0,other_leads_focus,maintains,vehicle,vehicle,1.2999999523162842,1.2999999523162842,0.48358353972435,anchor_12787_other_follows_focus_maintains_lead30/easy_negative/easy_negative_03_idx16328_d18.71.png
12787,easy_negative,4,3185,24.746912002563477,360020fc89f04133,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/360020fc89f04133_focus_612_src7.npz,612,647,11,55,25,30,3.0,other_leads_focus,maintains,vehicle,vehicle,0.0,0.20000000298023224,4.309907913208008,anchor_12787_other_follows_focus_maintains_lead30/easy_negative/easy_negative_04_idx03185_d24.75.png
