anchor_index,role,rank,sample_index,distance,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,lead_time_s,relation,response,focus_type,candidate_type,delta_arrival_time_s,pet_s,spatial_min_dist_m,figure
14410,anchor,0,14410,,be362cf81a7e7065,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/be362cf81a7e7065_focus_864_src1.npz,864,867,5,39,29,10,1.0,other_follows_focus,decelerates,vehicle,vehicle,0.0,6.099999904632568,0.10729453712701797,anchor_14410_other_follows_focus_decelerates_lead10/anchor/anchor_00_idx14410.png
14410,positive,1,15864,8.867552757263184,cddd717905781e09,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/cddd717905781e09_focus_530_src0.npz,530,550,3,34,24,10,1.0,other_follows_focus,decelerates,vehicle,vehicle,0.0,3.299999952316284,0.009799353778362274,anchor_14410_other_follows_focus_decelerates_lead10/positive/positive_01_idx15864_d8.87.png
14410,positive,2,11721,9.467408180236816,9f6562f5bb37903d,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/9f6562f5bb37903d_focus_657_src0.npz,657,945,4,67,57,10,1.0,other_follows_focus,decelerates,vehicle,vehicle,-2.299999952316284,2.299999952316284,3.712763786315918,anchor_14410_other_follows_focus_decelerates_lead10/positive/positive_02_idx11721_d9.47.png
14410,hard_negative,1,12901,9.15727710723877,ad3533c8c80db2e0,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/ad3533c8c80db2e0_focus_1463_src0.npz,1463,1453,14,88,78,10,1.0,other_follows_focus,maintains,vehicle,vehicle,0.0,4.400000095367432,3.904175043106079,anchor_14410_other_follows_focus_decelerates_lead10/hard_negative/hard_negative_01_idx12901_d9.16.png
14410,hard_negative,2,12898,9.32679557800293,ad3533c8c80db2e0,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/ad3533c8c80db2e0_focus_1463_src0.npz,1463,1519,12,81,71,10,1.0,other_follows_focus,maintains,vehicle,vehicle,0.0,3.5,3.5948057174682617,anchor_14410_other_follows_focus_decelerates_lead10/hard_negative/hard_negative_02_idx12898_d9.33.png
14410,hard_negative,3,17943,9.581019401550293,e75bf3b06f59ef2b,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/e75bf3b06f59ef2b_focus_3458_src1.npz,3458,3915,8,57,47,10,1.0,other_follows_focus,maintains,vehicle,vehicle,-1.2999999523162842,1.2999999523162842,3.0285322666168213,anchor_14410_other_follows_focus_decelerates_lead10/hard_negative/hard_negative_03_idx17943_d9.58.png
14410,hard_negative,4,2502,9.69256591796875,2da953178558e126,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/2da953178558e126_focus_759_src1.npz,759,1363,14,31,21,10,1.0,other_follows_focus,maintains,vehicle,vehicle,-2.700000047683716,2.700000047683716,0.024663763120770454,anchor_14410_other_follows_focus_decelerates_lead10/hard_negative/hard_negative_04_idx02502_d9.69.png
14410,easy_negative,1,12624,66.4682388305664,aa3e5cf52adcedcf,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/aa3e5cf52adcedcf_focus_1362_src3.npz,1362,1353,11,77,67,10,1.0,other_leads_focus,maintains,vehicle,vehicle,0.0,0.30000001192092896,4.1095685958862305,anchor_14410_other_follows_focus_decelerates_lead10/easy_negative/easy_negative_01_idx12624_d66.47.png
14410,easy_negative,2,9334,44.197471618652344,815cc1d3000e6027,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/815cc1d3000e6027_focus_653_src5.npz,653,507,5,54,44,10,1.0,crossing_or_oncoming_conflict,goes_first,cyclist,vehicle,-2.0999999046325684,2.0999999046325684,0.24950142204761505,anchor_14410_other_follows_focus_decelerates_lead10/easy_negative/easy_negative_02_idx09334_d44.20.png
14410,easy_negative,3,8840,40.07992935180664,7a9cbb7a02d852c5,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/7a9cbb7a02d852c5_focus_3452_src0.npz,3452,3431,14,85,75,10,1.0,other_leads_focus,maintains,vehicle,vehicle,0.0,8.0,7.752652168273926,anchor_14410_other_follows_focus_decelerates_lead10/easy_negative/easy_negative_03_idx08840_d40.08.png
14410,easy_negative,4,6408,17.929582595825195,5ad019cbd66c412a,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/5ad019cbd66c412a_focus_2676_src1.npz,2676,2674,13,55,45,10,1.0,converging_conflict,yields,vehicle,vehicle,1.899999976158142,1.899999976158142,3.5776326656341553,anchor_14410_other_follows_focus_decelerates_lead10/easy_negative/easy_negative_04_idx06408_d17.93.png
