anchor_index,role,rank,sample_index,distance,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,lead_time_s,relation,response,focus_type,candidate_type,delta_arrival_time_s,pet_s,spatial_min_dist_m,figure
14584,anchor,0,14584,,bfaf6546cd74c147,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/bfaf6546cd74c147_focus_1483_src1.npz,1483,1503,26,75,55,20,2.0,other_leads_focus,maintains,vehicle,vehicle,0.0,7.199999809265137,17.311227798461914,anchor_14584_other_leads_focus_maintains_lead20/anchor/anchor_00_idx14584.png
14584,positive,1,2696,13.085497856140137,3080b5ff36c12065,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/3080b5ff36c12065_focus_598_src7.npz,598,264,16,65,45,20,2.0,other_leads_focus,maintains,vehicle,vehicle,0.0,8.0,9.292890548706055,anchor_14584_other_leads_focus_maintains_lead20/positive/positive_01_idx02696_d13.09.png
14584,positive,2,8539,13.239974021911621,75b49c51823abb07,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/75b49c51823abb07_focus_1050_src0.npz,1050,1055,7,57,37,20,2.0,other_leads_focus,maintains,vehicle,vehicle,0.0,7.0,4.635979175567627,anchor_14584_other_leads_focus_maintains_lead20/positive/positive_02_idx08539_d13.24.png
14584,hard_negative,1,12792,12.534165382385254,abcce67bb4a38e73,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/abcce67bb4a38e73_focus_798_src0.npz,798,796,8,64,44,20,2.0,other_leads_focus,decelerates,vehicle,vehicle,0.0,8.0,16.4954776763916,anchor_14584_other_leads_focus_maintains_lead20/hard_negative/hard_negative_01_idx12792_d12.53.png
14584,hard_negative,2,12789,15.32390022277832,abcce67bb4a38e73,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/abcce67bb4a38e73_focus_798_src0.npz,798,1005,5,52,32,20,2.0,other_leads_focus,decelerates,vehicle,vehicle,0.0,4.599999904632568,7.36231803894043,anchor_14584_other_leads_focus_maintains_lead20/hard_negative/hard_negative_02_idx12789_d15.32.png
14584,hard_negative,3,12461,18.818649291992188,a8bf9de785ddccc5,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/a8bf9de785ddccc5_focus_3132_src0.npz,3132,4121,18,66,46,20,2.0,other_leads_focus,decelerates,vehicle,vehicle,0.0,8.0,9.338008880615234,anchor_14584_other_leads_focus_maintains_lead20/hard_negative/hard_negative_03_idx12461_d18.82.png
14584,hard_negative,4,3102,20.229625701904297,34c29e8f730a4f07,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/34c29e8f730a4f07_focus_1355_src1.npz,1355,1348,8,72,52,20,2.0,other_leads_focus,decelerates,vehicle,vehicle,0.0,7.900000095367432,12.105265617370605,anchor_14584_other_leads_focus_maintains_lead20/hard_negative/hard_negative_04_idx03102_d20.23.png
14584,easy_negative,1,19610,23.414562225341797,fc7909af4bfc347c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/fc7909af4bfc347c_focus_989_src0.npz,989,3935,11,62,42,20,2.0,crossing_or_oncoming_conflict,goes_first,vehicle,pedestrian,-2.799999952316284,2.799999952316284,1.0673835277557373,anchor_14584_other_leads_focus_maintains_lead20/easy_negative/easy_negative_01_idx19610_d23.41.png
14584,easy_negative,2,10992,54.99955368041992,968758cc80164d3f,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/968758cc80164d3f_focus_226_src0.npz,226,229,1,84,64,20,2.0,other_follows_focus,maintains,pedestrian,pedestrian,0.0,0.0,0.6774742007255554,anchor_14584_other_leads_focus_maintains_lead20/easy_negative/easy_negative_02_idx10992_d55.00.png
14584,easy_negative,3,8094,65.43287658691406,6e90355873705828,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/6e90355873705828_focus_1958_src6.npz,1958,283,1,47,27,20,2.0,other_follows_focus,decelerates,cyclist,vehicle,0.0,3.200000047683716,0.11872606724500656,anchor_14584_other_leads_focus_maintains_lead20/easy_negative/easy_negative_03_idx08094_d65.43.png
14584,easy_negative,4,17918,56.81864547729492,e7198935fd6680ac,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/e7198935fd6680ac_focus_3635_src0.npz,3635,4449,14,72,52,20,2.0,converging_conflict,yields,vehicle,vehicle,1.600000023841858,1.600000023841858,0.790747880935669,anchor_14584_other_leads_focus_maintains_lead20/easy_negative/easy_negative_04_idx17918_d56.82.png
