anchor_index,role,rank,sample_index,distance,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,lead_time_s,relation,response,focus_type,candidate_type,delta_arrival_time_s,pet_s,spatial_min_dist_m,figure
1817,anchor,0,1817,,24b58c68bf5cb235,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/24b58c68bf5cb235_focus_2354_src2.npz,2354,2353,2,61,31,30,3.0,converging_conflict,yields,vehicle,vehicle,2.9000000953674316,2.9000000953674316,0.6478064060211182,anchor_01817_converging_conflict_yields_lead30/anchor/anchor_00_idx01817.png
1817,positive,1,6868,13.005866050720215,5ff3238ca002ee0,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/5ff3238ca002ee0_focus_1318_src1.npz,1318,1315,13,74,44,30,3.0,converging_conflict,yields,vehicle,vehicle,1.600000023841858,1.600000023841858,3.840883731842041,anchor_01817_converging_conflict_yields_lead30/positive/positive_01_idx06868_d13.01.png
1817,positive,2,6673,13.944268226623535,5d8a51c8fb0d739c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/5d8a51c8fb0d739c_focus_167_src0.npz,167,620,10,68,38,30,3.0,converging_conflict,yields,vehicle,vehicle,2.0999999046325684,2.0999999046325684,1.094253420829773,anchor_01817_converging_conflict_yields_lead30/positive/positive_02_idx06673_d13.94.png
1817,hard_negative,1,5094,15.600123405456543,4b61c03f986f4044,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/4b61c03f986f4044_focus_4442_src5.npz,4442,1659,4,51,21,30,3.0,converging_conflict,goes_first,vehicle,vehicle,-1.399999976158142,1.399999976158142,0.11635841429233551,anchor_01817_converging_conflict_yields_lead30/hard_negative/hard_negative_01_idx05094_d15.60.png
1817,hard_negative,2,1151,15.666419982910156,1cac0a6110f21f50,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1cac0a6110f21f50_focus_2321_src3.npz,2321,2067,12,63,33,30,3.0,converging_conflict,goes_first,vehicle,vehicle,-2.700000047683716,2.700000047683716,3.392880439758301,anchor_01817_converging_conflict_yields_lead30/hard_negative/hard_negative_02_idx01151_d15.67.png
1817,hard_negative,3,15049,15.867316246032715,c557056154801cb3,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/c557056154801cb3_focus_1697_src2.npz,1697,795,6,54,24,30,3.0,converging_conflict,goes_first,vehicle,vehicle,-1.399999976158142,1.399999976158142,3.805966854095459,anchor_01817_converging_conflict_yields_lead30/hard_negative/hard_negative_03_idx15049_d15.87.png
1817,hard_negative,4,6609,15.968379974365234,5cedccacdac00686,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/5cedccacdac00686_focus_978_src1.npz,978,1525,16,49,19,30,3.0,converging_conflict,goes_first,vehicle,vehicle,-2.0999999046325684,2.0999999046325684,0.012695323675870895,anchor_01817_converging_conflict_yields_lead30/hard_negative/hard_negative_04_idx06609_d15.97.png
1817,easy_negative,1,3668,17.082515716552734,3aceaf6e871dbccd,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/3aceaf6e871dbccd_focus_747_src0.npz,747,748,7,51,21,30,3.0,other_leads_focus,maintains,vehicle,vehicle,0.699999988079071,0.699999988079071,3.4802205562591553,anchor_01817_converging_conflict_yields_lead30/easy_negative/easy_negative_01_idx03668_d17.08.png
1817,easy_negative,2,14381,16.162269592285156,bdb3cba00bad6ff7,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/bdb3cba00bad6ff7_focus_685_src2.npz,685,572,1,71,41,30,3.0,other_leads_focus,maintains,vehicle,vehicle,1.7999999523162842,1.7999999523162842,0.09758075326681137,anchor_01817_converging_conflict_yields_lead30/easy_negative/easy_negative_02_idx14381_d16.16.png
1817,easy_negative,3,17411,18.301362991333008,e007d317b074294d,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/e007d317b074294d_focus_682_src5.npz,682,720,9,89,59,30,3.0,other_follows_focus,maintains,vehicle,vehicle,0.0,6.199999809265137,5.826255798339844,anchor_01817_converging_conflict_yields_lead30/easy_negative/easy_negative_03_idx17411_d18.30.png
1817,easy_negative,4,10116,17.342405319213867,8c6008b115d910ea,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/8c6008b115d910ea_focus_304_src1.npz,304,298,1,50,20,30,3.0,other_follows_focus,decelerates,vehicle,vehicle,-2.9000000953674316,2.9000000953674316,0.003936074674129486,anchor_01817_converging_conflict_yields_lead30/easy_negative/easy_negative_04_idx10116_d17.34.png
7889,anchor,0,7889,,6bcd51a4c0f692d8,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/6bcd51a4c0f692d8_focus_2799_src0.npz,2799,3084,1,53,23,30,3.0,crossing_or_oncoming_conflict,goes_first,vehicle,pedestrian,-2.0999999046325684,2.0999999046325684,0.1467873752117157,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/anchor/anchor_00_idx07889.png
7889,positive,1,2362,12.228262901306152,2be8cd4124e3e20e,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/2be8cd4124e3e20e_focus_2058_src0.npz,2058,2708,1,57,27,30,3.0,crossing_or_oncoming_conflict,goes_first,vehicle,pedestrian,-2.700000047683716,2.700000047683716,0.054826769977808,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/positive/positive_01_idx02362_d12.23.png
7889,positive,2,5731,13.943451881408691,5385c863e42ab4ac,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/5385c863e42ab4ac_focus_1551_src1.npz,1551,6251,1,69,39,30,3.0,crossing_or_oncoming_conflict,goes_first,vehicle,pedestrian,-2.0999999046325684,2.0999999046325684,0.8491096496582031,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/positive/positive_02_idx05731_d13.94.png
7889,hard_negative,1,6136,33.6803092956543,58205251e459e0c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/58205251e459e0c_focus_0_src0.npz,0,370,3,60,30,30,3.0,crossing_or_oncoming_conflict,yields,vehicle,pedestrian,3.0,3.0,2.828246831893921,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/hard_negative/hard_negative_01_idx06136_d33.68.png
7889,easy_negative,1,192,35.31455612182617,11ee7951a330eba5,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/11ee7951a330eba5_focus_437_src7.npz,437,416,9,54,24,30,3.0,other_leads_focus,decelerates,vehicle,vehicle,0.0,8.0,16.399272918701172,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/easy_negative/easy_negative_01_idx00192_d35.31.png
7889,easy_negative,2,5630,35.57415008544922,528a656a6751e4cc,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/528a656a6751e4cc_focus_284_src6.npz,284,50,1,72,42,30,3.0,other_leads_focus,maintains,vehicle,vehicle,1.2999999523162842,1.2999999523162842,0.7535027861595154,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/easy_negative/easy_negative_02_idx05630_d35.57.png
7889,easy_negative,3,7784,31.999448776245117,6a9076b06cfd3606,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/6a9076b06cfd3606_focus_37_src6.npz,37,38,3,79,49,30,3.0,other_leads_focus,maintains,vehicle,vehicle,1.0,1.0,0.5487066507339478,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/easy_negative/easy_negative_03_idx07784_d32.00.png
7889,easy_negative,4,13517,74.65264892578125,b4f3749eae902d8c,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/b4f3749eae902d8c_focus_1968_src0.npz,1968,1974,1,87,57,30,3.0,other_follows_focus,maintains,vehicle,vehicle,0.0,2.4000000953674316,8.55065631866455,anchor_07889_crossing_or_oncoming_conflict_goes_first_lead30/easy_negative/easy_negative_04_idx13517_d74.65.png
17054,anchor,0,17054,,db8b648543d97f55,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/db8b648543d97f55_focus_9_src2.npz,9,1,10,57,47,10,1.0,converging_conflict,yields,vehicle,vehicle,2.799999952316284,2.799999952316284,0.11110331863164902,anchor_17054_converging_conflict_yields_lead10/anchor/anchor_00_idx17054.png
17054,positive,1,13984,13.099573135375977,ba2c9a2dda018faf,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/ba2c9a2dda018faf_focus_1675_src2.npz,1675,1673,4,38,28,10,1.0,converging_conflict,yields,vehicle,vehicle,2.9000000953674316,2.9000000953674316,0.07771185040473938,anchor_17054_converging_conflict_yields_lead10/positive/positive_01_idx13984_d13.10.png
17054,positive,2,10060,14.069662094116211,8bf94bf56e0daf9e,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/8bf94bf56e0daf9e_focus_335_src1.npz,335,1194,5,31,21,10,1.0,converging_conflict,yields,vehicle,vehicle,2.0999999046325684,2.0999999046325684,3.036487102508545,anchor_17054_converging_conflict_yields_lead10/positive/positive_02_idx10060_d14.07.png
17054,hard_negative,1,11313,17.632400512695312,99fc5fc4f4c0c678,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/99fc5fc4f4c0c678_focus_1467_src0.npz,1467,1697,1,77,67,10,1.0,converging_conflict,goes_first,vehicle,vehicle,-1.2999999523162842,1.2999999523162842,0.13190090656280518,anchor_17054_converging_conflict_yields_lead10/hard_negative/hard_negative_01_idx11313_d17.63.png
17054,hard_negative,2,8267,17.828937530517578,706f24b99e58f375,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/706f24b99e58f375_focus_677_src0.npz,677,848,7,42,32,10,1.0,converging_conflict,goes_first,vehicle,vehicle,-1.2000000476837158,1.2000000476837158,3.7430477142333984,anchor_17054_converging_conflict_yields_lead10/hard_negative/hard_negative_02_idx08267_d17.83.png
17054,hard_negative,3,16723,18.049938201904297,d7b4de9da6a3fd87,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/d7b4de9da6a3fd87_focus_836_src0.npz,836,1452,5,76,66,10,1.0,converging_conflict,goes_first,vehicle,vehicle,-1.399999976158142,1.399999976158142,3.116837739944458,anchor_17054_converging_conflict_yields_lead10/hard_negative/hard_negative_03_idx16723_d18.05.png
17054,hard_negative,4,13642,18.08023452758789,b5e96565ceec8b6e,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/b5e96565ceec8b6e_focus_1774_src1.npz,1774,2070,2,34,24,10,1.0,converging_conflict,goes_first,vehicle,vehicle,-1.0,1.0,3.756972074508667,anchor_17054_converging_conflict_yields_lead10/hard_negative/hard_negative_04_idx13642_d18.08.png
