sample_index,split,scenario_id,source_path,first_agent_id,second_agent_id,first_agent_type,second_agent_type,is_original_ooi_pair,event_mode,primary_step_first,primary_step_second,interval_start_first,interval_end_first,interval_start_second,interval_end_second,zone_pet_steps,zone_pet_s,center_pet_steps,center_pet_s,min_clearance_m,num_contact_components,primary_component_cells,relevance_score,valid_steps_first,valid_steps_second,first_length_m,first_width_m,second_length_m,second_width_m,shard,shard_row,heading_diff_deg,mean_event_speed_mps,min_median_speed_mps,max_valid_speed_mps,max_speed_drop_mps,max_yaw_change_deg,relative_lateral_change_m,median_abs_relative_lateral_m,path_convergence_m,path_divergence_m,partial_valid,valid_fraction,interval_length_steps,types,audit_category,selection_role,figure
68557,train,dbbce5882d7cb5d8,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/dbbce5882d7cb5d8_focus_5_src0.npz,5,7,1,1,True,path_intersection,81.54809802770615,87.90724062919617,0.0,87.5,1.5,90.0,0.0,0.0,6.359142601490021,0.6359142601490021,0.0,1,618,1.0,91,91,4.734745502471924,2.0620920658111572,4.5057172775268555,1.9990007877349854,train_samples_00013.npz,3557,0.4638108257788859,15.643195152282715,15.46983528137207,16.792062759399414,0.6859683990478516,1.0813692097747587,0.3813754916191101,1.9813991785049438,-0.28576159477233887,0.4563019275665283,False,1.0,88.5,"(1, 1)",following,ooi_typical,following/01_ooi_typical_train_idx068557_dbbce5882d7cb5d8.png
19668,train,2c660362330fa5a8,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/2c660362330fa5a8_focus_2925_src0.npz,2925,2932,1,1,False,obb_contact_interval,80.0,84.0,0.0,85.5,5.5,90.0,3.0,0.30000000000000004,4.0,0.4,0.0,1,487,0.9950124791926824,91,91,5.068744659423828,2.3316965103149414,4.8368000984191895,2.2351913452148438,train_samples_00003.npz,4668,0.481009242108978,19.538640022277832,20.04887580871582,22.011823654174805,0.8691234588623047,0.32957028783145526,0.03958314657211304,0.25446051359176636,-1.0937299728393555,1.4343703389167786,False,1.0,85.5,"(1, 1)",following,mined_typical,following/02_mined_typical_train_idx019668_2c660362330fa5a8.png
39914,train,1100f24d325f42e,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/1100f24d325f42e_focus_926_src1.npz,926,934,1,1,False,obb_contact_interval,6.0,6.0,0.0,90.0,0.0,83.5,0.0,0.0,0.0,0.0,0.0,1,856,1.0,91,91,4.563827037811279,2.0609421730041504,4.483419418334961,2.0603139400482178,train_samples_00007.npz,4914,0.09224853493019221,12.158539295196533,10.543258666992188,12.79587173461914,2.1881799697875977,2.102851320906846,0.1667470932006836,1.5925580263137817,1.4599192142486572,1.1474814414978027,False,1.0,90.0,"(1, 1)",following,low_pet,following/03_low_pet_train_idx039914_1100f24d325f42e.png
56201,train,173680834003b48c,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/173680834003b48c_focus_847_src3.npz,1099,847,1,1,False,obb_contact_interval,42.0,48.0,0.0,83.5,6.5,90.0,5.0,0.5,6.0,0.6000000000000001,0.0,1,527,0.9862071167439163,91,91,5.285999774932861,2.3320000171661377,4.827809810638428,2.1452248096466064,train_samples_00011.npz,1201,0.3025227387182048,18.154629707336426,18.21312141418457,19.175546646118164,1.4582138061523438,2.7878373323890844,0.4955839514732361,0.30329418182373047,0.7738316059112549,0.2991483211517334,False,1.0,83.5,"(1, 1)",following,high_pet,following/04_high_pet_train_idx056201_173680834003b48c.png
8888,val,1118240e92621b40,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/val/1118240e92621b40_focus_1335_src4.npz,1327,1335,1,1,False,obb_contact_interval,45.0,45.0,0.0,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1,762,1.0,91,91,4.155488014221191,2.7256593704223633,5.714573860168457,2.2918992042541504,val_samples_00001.npz,3888,0.32484379692580645,14.066222667694092,14.13650131225586,15.589686393737793,0.3469514846801758,1.055824302278911,0.07224275916814804,0.0758325457572937,0.3911736309528351,-0.2868191599845886,False,1.0,90.0,"(1, 1)",following,long_interval,following/05_long_interval_val_idx008888_1118240e92621b40.png
4246,val,ed376b12f2873f0d,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/val/ed376b12f2873f0d_focus_981_src0.npz,981,998,1,1,False,obb_contact_interval,84.0,84.0,0.0,90.0,11.5,90.0,0.0,0.0,0.0,0.0,0.0,2,698,1.0,91,80,4.5446553230285645,2.078852891921997,4.692629814147949,2.0637881755828857,val_samples_00000.npz,4246,0.2004523917615342,7.049452066421509,14.99817180633545,27.765605926513672,8.408832550048828,0.8348677359898514,0.009341239929199219,2.0643935203552246,-0.7604196071624756,0.7604196071624756,True,0.9395604395604396,90.0,"(1, 1)",following,partial_or_strong_response,following/06_partial_or_strong_response_val_idx004246_ed376b12f2873f0d.png
16840,train,87d551d6d00eecd6,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/87d551d6d00eecd6_focus_637_src0.npz,637,931,1,1,True,path_intersection,52.509330570697784,73.4984998703003,25.5,78.5,52.5,90.0,11.0,1.1,20.98916929960251,2.098916929960251,0.0,1,641,0.9349874032704532,91,91,4.707186222076416,2.0709972381591797,5.285999774932861,2.3320000171661377,train_samples_00003.npz,1840,4.986940105966573,7.564741134643555,6.614471912384033,9.50869369506836,1.4367542266845703,65.94766209700751,0.10437822341918945,3.9842958450317383,37.16949135065079,0.2478046417236328,False,1.0,53.0,"(1, 1)",merge_cut_in,ooi_typical,merge_cut_in/07_ooi_typical_train_idx016840_87d551d6d00eecd6.png
103005,train,6e0fceee3fee247c,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/6e0fceee3fee247c_focus_388_src2.npz,383,388,1,1,False,obb_contact_interval,27.0,48.0,0.0,44.5,23.5,81.5,20.0,2.0,21.0,2.1,0.0,2,634,0.8007374029168081,87,91,4.641506195068359,2.084808826446533,4.643013000488281,2.151916742324829,train_samples_00020.npz,3005,1.132991779521715,8.385799407958984,8.145983695983887,16.0867862701416,0.7919912338256836,2.1135337367687455,0.18009494245052338,0.36946719884872437,11.064522862434387,38.77448046207428,True,0.978021978021978,58.0,"(1, 1)",merge_cut_in,mined_typical,merge_cut_in/08_mined_typical_train_idx103005_6e0fceee3fee247c.png
6251,train,1071900ad4e4dc7b,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/1071900ad4e4dc7b_focus_2431_src3.npz,2431,5536,1,1,True,obb_contact_interval,47.0,53.0,29.5,78.5,39.5,90.0,5.0,0.5,6.0,0.6000000000000001,0.0,1,542,0.9862071167439163,91,91,4.790813446044922,2.0763962268829346,5.285999774932861,2.3320000171661377,train_samples_00001.npz,1251,3.6897364915325883,10.40265417098999,10.68500804901123,12.45163345336914,2.4656105041503906,2.8176854725054516,1.8355343341827393,2.916273593902588,6.0324283838272095,6.033388614654541,False,1.0,50.5,"(1, 1)",merge_cut_in,low_pet,merge_cut_in/09_low_pet_train_idx006251_1071900ad4e4dc7b.png
91056,train,110df01f0a679bfd,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/110df01f0a679bfd_focus_124_src4.npz,36,124,1,1,False,path_intersection,5.98047536611557,63.18617798388004,0.0,33.5,49.5,90.0,49.0,4.9,57.20570261776447,5.720570261776448,0.0,1,520,0.2634507359322566,90,91,4.4890851974487305,2.055251121520996,4.939407825469971,2.249171495437622,train_samples_00018.npz,1056,1.4727527095948294,8.288588762283325,4.077055931091309,9.855114936828613,5.2696027755737305,8.676170736613757,4.644857883453369,2.128483295440674,42.87573379278183,21.080305457115173,True,0.9945054945054945,40.5,"(1, 1)",merge_cut_in,high_pet,merge_cut_in/10_high_pet_train_idx091056_110df01f0a679bfd.png
