audit_order,anchor_index,neighbor_index,rank,rms_distance,common_valid_fraction,anchor_scenario_id,neighbor_scenario_id,anchor_event_mode,neighbor_event_mode,anchor_zone_pet_s,neighbor_zone_pet_s
0,76500,100518,1,1.6896842680580448e-07,1.0,be2ffa367659a3ce,715cf943477b311c,obb_contact_interval,obb_contact_interval,5.700000286102295,5.700000286102295
1,54807,82830,1,6.262504825826909e-07,0.9166666865348816,977972352f797d28,34dc7115f1d13156,path_intersection,path_intersection,2.799999952316284,2.799999952316284
2,70577,76917,1,0.037585049867630005,0.8333333134651184,27f673eed03d7df7,6e82caa882029540,obb_contact_interval,obb_contact_interval,0.0,0.0
3,42324,9847,1,0.055650461465120316,1.0,bdfe07a04d5754d2,fd8c9d048585941,obb_contact_interval,obb_contact_interval,4.300000190734863,3.9000000953674316
4,71023,107174,1,0.0651501715183258,1.0,2ec94df6f000aa17,44ff482c65429cbc,obb_contact_interval,obb_contact_interval,0.0,0.0
5,26631,73658,1,0.07284196466207504,0.9666666388511658,2ae07dce7fff481a,7dda931f83b2f7f2,obb_contact_interval,obb_contact_interval,3.700000047683716,5.0
6,75657,40569,1,0.08039455115795135,0.9333333373069763,cd4711045683dc55,7937a0ca5e9b4d40,path_intersection,obb_contact_interval,1.899999976158142,2.299999952316284
7,91851,112052,1,0.08794806897640228,1.0,b1a0c8adbdbd9fe4,5e2ea93922c7d6fb,obb_contact_interval,obb_contact_interval,0.0,0.0
8,78418,94142,1,0.09523320943117142,1.0,5409bf7c34f10cd2,26df1830479b3759,obb_contact_interval,obb_contact_interval,2.6000001430511475,2.4000000953674316
9,59616,60269,1,0.10314445197582245,0.9333333373069763,9c0460974501de54,613f7d331748ed08,obb_contact_interval,obb_contact_interval,0.30000001192092896,0.30000001192092896
10,45139,79760,1,0.11117827147245407,1.0,efc846eb5fac803e,c4303223e0198c31,obb_contact_interval,obb_contact_interval,4.700000286102295,4.800000190734863
11,662,14499,1,0.11994735151529312,0.9833333492279053,43c01757f7396b4,d914d40ca62ed4d8,obb_contact_interval,obb_contact_interval,0.0,0.0
12,91783,45047,1,0.12922576069831848,1.0,95dbaf306fd5d12d,1bf7402e781a851d,obb_contact_interval,obb_contact_interval,3.4000000953674316,3.200000047683716
13,101506,14550,1,0.13948771357536316,0.8166666626930237,cd224ee2784f3cd3,14a4b87d789f3a1d,path_intersection,path_intersection,1.100000023841858,1.100000023841858
14,90877,12918,1,0.15120185911655426,0.8166666626930237,b2645b7523d5b28f,5b3a5c7ba97c914,obb_contact_interval,path_intersection,3.4000000953674316,1.5
15,103645,10987,1,0.164472296833992,0.9666666388511658,67f8d72a90785ac2,ebf85191d61a26e4,obb_contact_interval,obb_contact_interval,2.1000001430511475,2.0
16,109265,85485,1,0.18011662364006042,0.9333333373069763,9239216240a4633b,3ccbeed2c9055e19,path_intersection,path_intersection,0.0,0.0
17,33509,106787,1,0.19742706418037415,0.9166666865348816,8b33915699c4f442,aec6655ba0813f62,obb_contact_interval,obb_contact_interval,1.5,1.899999976158142
18,21441,82763,1,0.21730360388755798,0.8666666746139526,15051a20f64ccedc,52c65c546d0381bb,obb_contact_interval,obb_contact_interval,0.9000000357627869,0.5
19,97167,112524,1,0.24145875871181488,0.8166666626930237,345d18d8cc2e1593,5b5c93e9a7eafb82,path_intersection,path_intersection,3.9000000953674316,3.799999952316284
20,5434,23561,1,0.2718139886856079,0.7166666388511658,d2e72d9118a2bcce,ba668ac5ba76bcdb,obb_contact_interval,obb_contact_interval,0.0,1.2000000476837158
21,28151,69167,1,0.31047073006629944,0.9666666388511658,e9ffe020b09e23e6,d3d5a16d18288fc8,obb_contact_interval,path_intersection,2.200000047683716,1.399999976158142
22,39577,74188,1,0.36982065439224243,1.0,751340e48b23743c,b43fe94f5449cbfa,path_intersection,path_intersection,1.5,1.600000023841858
23,23040,37011,1,0.5103763937950134,0.8333333134651184,e8b54b15c7217ecf,f001fe718443aaa3,path_intersection,path_intersection,2.799999952316284,3.200000047683716
