audit_order,anchor_index,negative_index,dct_rank,dct_distance,exact_rms_rank_within_candidates,exact_rms_distance,rank1_rms_distance,rank32_rms_distance,negative_to_rank32_ratio,common_valid_fraction,anchor_scenario_id,negative_scenario_id,stratum_key,anchor_event_mode,negative_event_mode,anchor_zone_pet_s,negative_zone_pet_s
0,76500,6201,245,11.795280456542969,397,0.4727941155433655,1.6896842680580448e-07,0.2758469581604004,1.7139725545512219,0.949999988079071,be2ffa367659a3ce,228932162aa9fbc0,110,obb_contact_interval,obb_contact_interval,5.700000286102295,3.6000001430511475
1,54807,54650,252,22.784015655517578,993,1.2425709962844849,6.262504825826909e-07,0.6171053647994995,2.0135475514593884,0.800000011920929,977972352f797d28,6e0acd66ceca9a3a,110,path_intersection,path_intersection,2.799999952316284,0.20000000298023224
2,70577,32132,215,4.313347339630127,682,0.1914965659379959,0.037585049867630005,0.08098980039358139,2.364452869464936,0.9166666865348816,27f673eed03d7df7,c94913fab513317e,110,obb_contact_interval,obb_contact_interval,0.0,0.0
3,42324,18133,161,2.8524911403656006,771,0.15598554909229279,0.055650461465120316,0.08184566348791122,1.9058498941160418,1.0,bdfe07a04d5754d2,8a45a18bc80d3b90,110,obb_contact_interval,path_intersection,4.300000190734863,1.8000000715255737
4,71023,75977,255,4.808872699737549,358,0.18664056062698364,0.0651501715183258,0.10545477271080017,1.7698635711711965,0.9833333492279053,2ec94df6f000aa17,31778d7c1ea92b55,110,obb_contact_interval,obb_contact_interval,0.0,0.0
5,26631,75646,231,3.495591640472412,1022,0.22074252367019653,0.07284196466207504,0.09776563197374344,2.2578744617482815,0.949999988079071,2ae07dce7fff481a,b4690a58e27c6986,110,obb_contact_interval,path_intersection,3.700000047683716,3.299999952316284
6,75657,43447,245,4.244835376739502,712,0.18205882608890533,0.08039455115795135,0.11366695910692215,1.6016864313019017,0.8999999761581421,cd4711045683dc55,c5f025640c563c9f,110,path_intersection,path_intersection,1.899999976158142,1.2000000476837158
7,91851,69063,246,23.409440994262695,359,0.9368237853050232,0.08794806897640228,0.3825950026512146,2.448604343531012,0.800000011920929,b1a0c8adbdbd9fe4,4d28fabf6ba6de8d,110,obb_contact_interval,obb_contact_interval,0.0,0.0
8,78418,43568,224,7.281152248382568,526,0.33053186535835266,0.09523320943117142,0.18113164603710175,1.824815666339436,0.949999988079071,5409bf7c34f10cd2,c0088bcd962b0145,110,obb_contact_interval,obb_contact_interval,2.6000001430511475,2.5
9,59616,107781,238,7.651578903198242,671,0.34084704518318176,0.10314445197582245,0.15361399948596954,2.2188540518685818,0.9333333373069763,9c0460974501de54,f29c43becc4b8b7c,110,obb_contact_interval,obb_contact_interval,0.30000001192092896,0.10000000149011612
10,45139,21056,221,5.487821102142334,471,0.23303191363811493,0.11117827147245407,0.15879416465759277,1.4675093013688552,0.949999988079071,efc846eb5fac803e,ebc26949d1290340,110,obb_contact_interval,obb_contact_interval,4.700000286102295,4.599999904632568
11,662,60789,252,10.989991188049316,342,0.42504364252090454,0.11994735151529312,0.24441199004650116,1.7390457908388082,0.9833333492279053,43c01757f7396b4,1faaf0f60ba27892,110,obb_contact_interval,obb_contact_interval,0.0,0.10000000149011612
12,91783,45186,235,10.15125846862793,1015,0.5159804224967957,0.12922576069831848,0.24162888526916504,2.1354252490219197,0.8666666746139526,95dbaf306fd5d12d,c50e0bdaaebc2ec1,110,obb_contact_interval,obb_contact_interval,3.4000000953674316,3.1000001430511475
13,101506,105955,233,14.620805740356445,815,0.6922001242637634,0.13948771357536316,0.3306301534175873,2.093578329468068,0.8833333253860474,cd224ee2784f3cd3,a154271f1bb92816,110,path_intersection,path_intersection,1.100000023841858,2.5
14,90877,11435,256,9.077046394348145,1002,0.6005390286445618,0.15120185911655426,0.2353922426700592,2.5512269301342934,0.9166666865348816,b2645b7523d5b28f,c10b798bb0de15e6,110,obb_contact_interval,obb_contact_interval,3.4000000953674316,1.899999976158142
15,103645,102097,243,10.186582565307617,404,0.4443325400352478,0.164472296833992,0.2687223255634308,1.6535006501734257,0.9166666865348816,67f8d72a90785ac2,a71fe0ca0c3812ce,110,obb_contact_interval,obb_contact_interval,2.1000001430511475,2.9000000953674316
16,109265,46465,237,13.890286445617676,716,0.7242246270179749,0.18011662364006042,0.35768070816993713,2.0247796721367752,0.8166666626930237,9239216240a4633b,71a47b1fb1e7b6be,120,path_intersection,obb_contact_interval,0.0,1.899999976158142
17,33509,102256,250,11.011128425598145,525,0.5299552083015442,0.19742706418037415,0.27163055539131165,1.9510147064938603,0.8166666626930237,8b33915699c4f442,4eae42559c9c2dc0,110,obb_contact_interval,obb_contact_interval,1.5,4.0
18,21441,34682,176,24.160289764404297,1018,1.4392554759979248,0.21730360388755798,0.5399560332298279,2.6655049437799643,1.0,15051a20f64ccedc,6ada8e152fc1ae5d,110,obb_contact_interval,obb_contact_interval,0.9000000357627869,0.0
19,97167,19371,249,22.347200393676758,467,0.9845649003982544,0.24145875871181488,0.5128108859062195,1.9199375977722655,0.8166666626930237,345d18d8cc2e1593,b5c0a79f0459bb72,110,path_intersection,path_intersection,3.9000000953674316,3.299999952316284
20,5434,114989,184,12.909599304199219,412,0.5878609418869019,0.2718139886856079,0.3925294280052185,1.4976225983216893,0.8166666626930237,d2e72d9118a2bcce,95a0c04a1a0af8d2,120,obb_contact_interval,obb_contact_interval,0.0,0.0
21,28151,107968,228,21.577255249023438,447,0.9798147678375244,0.31047073006629944,0.5134893655776978,1.9081500679866863,0.800000011920929,e9ffe020b09e23e6,feb08de833e25d9f,110,obb_contact_interval,path_intersection,2.200000047683716,1.3000000715255737
22,39577,94997,245,50.456668853759766,350,2.003143787384033,0.36982065439224243,0.6738998889923096,2.9724649315187714,0.8500000238418579,751340e48b23743c,e588ac2cced97557,120,path_intersection,path_intersection,1.5,2.200000047683716
23,23040,36306,236,39.26572036743164,308,1.8571462631225586,0.5103763937950134,1.0465376377105713,1.774562324567029,0.8333333134651184,e8b54b15c7217ecf,3b4208d769796303,210,path_intersection,path_intersection,2.799999952316284,0.0
