audit_order,anchor_index,neighbor_index,rank,rms_distance,common_valid_fraction,anchor_scenario_id,neighbor_scenario_id,anchor_event_mode,neighbor_event_mode,anchor_zone_pet_s,neighbor_zone_pet_s
0,76500,100511,32,0.2758469581604004,1.0,be2ffa367659a3ce,715cf943477b311c,obb_contact_interval,obb_contact_interval,5.700000286102295,4.700000286102295
1,54807,3752,32,0.6171053647994995,0.9166666865348816,977972352f797d28,da313366cdfc613,path_intersection,path_intersection,2.799999952316284,2.0
2,70577,113193,32,0.08098980039358139,0.9166666865348816,27f673eed03d7df7,13de5a7a70631f7a,obb_contact_interval,obb_contact_interval,0.0,0.0
3,42324,46190,32,0.08184566348791122,0.9666666388511658,bdfe07a04d5754d2,2f7ca41d9bd91d4e,obb_contact_interval,obb_contact_interval,4.300000190734863,3.700000047683716
4,71023,95198,32,0.10545477271080017,1.0,2ec94df6f000aa17,392703540410fe66,obb_contact_interval,obb_contact_interval,0.0,0.0
5,26631,15379,32,0.09776563197374344,0.9666666388511658,2ae07dce7fff481a,cf09a23b87bff5b5,obb_contact_interval,obb_contact_interval,3.700000047683716,4.300000190734863
6,75657,84655,32,0.11366695910692215,0.8333333134651184,cd4711045683dc55,27f16364ba23747d,path_intersection,path_intersection,1.899999976158142,2.1000001430511475
7,91851,10492,32,0.3825950026512146,1.0,b1a0c8adbdbd9fe4,8773e6157883c510,obb_contact_interval,obb_contact_interval,0.0,0.0
8,78418,51549,32,0.18113164603710175,1.0,5409bf7c34f10cd2,f31bba77cdd08496,obb_contact_interval,obb_contact_interval,2.6000001430511475,2.0
9,59616,3985,32,0.15361399948596954,0.9333333373069763,9c0460974501de54,1c876f193b181b00,obb_contact_interval,obb_contact_interval,0.30000001192092896,0.10000000149011612
10,45139,69632,32,0.15879416465759277,1.0,efc846eb5fac803e,f808607e7dd611ae,obb_contact_interval,obb_contact_interval,4.700000286102295,4.599999904632568
11,662,67169,32,0.24441199004650116,0.9833333492279053,43c01757f7396b4,33be4339eb2995a5,obb_contact_interval,obb_contact_interval,0.0,0.0
12,91783,18390,32,0.24162888526916504,1.0,95dbaf306fd5d12d,bf0c3ea6f6766892,obb_contact_interval,obb_contact_interval,3.4000000953674316,2.5
13,101506,65402,32,0.3306301534175873,0.8500000238418579,cd224ee2784f3cd3,4553a64e3bce4885,path_intersection,obb_contact_interval,1.100000023841858,1.2000000476837158
14,90877,58936,32,0.2353922426700592,1.0,b2645b7523d5b28f,e3fa7c2fec3b4c60,obb_contact_interval,obb_contact_interval,3.4000000953674316,5.200000286102295
15,103645,84128,32,0.2687223255634308,0.800000011920929,67f8d72a90785ac2,f7c8a22f9d27ccdf,obb_contact_interval,obb_contact_interval,2.1000001430511475,2.4000000953674316
16,109265,80356,32,0.35768070816993713,0.9333333373069763,9239216240a4633b,fb51613bff04d5ea,path_intersection,path_intersection,0.0,1.7000000476837158
17,33509,105103,32,0.27163055539131165,0.949999988079071,8b33915699c4f442,732da7a9b4e85a9,obb_contact_interval,obb_contact_interval,1.5,1.600000023841858
18,21441,89119,32,0.5399560332298279,0.9833333492279053,15051a20f64ccedc,15ccf27c0ac688d7,obb_contact_interval,obb_contact_interval,0.9000000357627869,0.9000000357627869
19,97167,40401,32,0.5128108859062195,0.7833333611488342,345d18d8cc2e1593,7abb7e1946020233,path_intersection,path_intersection,3.9000000953674316,3.299999952316284
20,5434,55321,32,0.3925294280052185,0.7333333492279053,d2e72d9118a2bcce,efd1a921131a652b,obb_contact_interval,obb_contact_interval,0.0,1.399999976158142
21,28151,90116,32,0.5134893655776978,0.8666666746139526,e9ffe020b09e23e6,641e03fd351c4cda,obb_contact_interval,path_intersection,2.200000047683716,3.1000001430511475
22,39577,43794,32,0.6738998889923096,0.800000011920929,751340e48b23743c,403bd2edc778a617,path_intersection,path_intersection,1.5,0.10000000149011612
23,23040,113089,32,1.0465376377105713,0.8333333134651184,e8b54b15c7217ecf,b37b5f8f3efd5d73,path_intersection,path_intersection,2.799999952316284,1.399999976158142
