audit_order,anchor_index,negative_index,difference_reasons,selection_tier,dct_rank,dct_distance,exact_rms_rank_within_candidates,exact_rms_distance,rank32_rms_distance,common_valid_fraction,anchor_order_swap,negative_order_swap,anchor_future_order,negative_future_order,anchor_gap_change_m,negative_gap_change_m,anchor_distance_change_m,negative_distance_change_m,anchor_scenario_id,negative_scenario_id,stratum_key
0,76500,10768,longitudinal-gap trend opposite;distance trend opposite,2,72,9.21300220489502,104,0.34782978892326355,0.2758469581604004,1.0,False,False,first-ahead,first-ahead,-2.4974899291992188,3.0865325927734375,-2.4972686767578125,3.0870513916015625,be2ffa367659a3ce,ac53c34411b99102,110
1,54807,16832,order-swap differs,1,56,17.982791900634766,140,0.7991920709609985,0.6171053647994995,0.9166666865348816,False,True,first-ahead,first-ahead,2.729961395263672,7.843730926513672,-3.0822973251342773,-5.348952293395996,977972352f797d28,722681eba9129cea,110
2,70577,83648,order-swap differs;future order differs,1,54,3.243894100189209,263,0.1341530978679657,0.08098980039358139,0.9166666865348816,True,False,second-ahead,overlap,-9.780351638793945,-1.9127812385559082,-0.1628727912902832,0.4530336856842041,27f673eed03d7df7,4e29fba1f95cdf31,110
4,71023,24904,order-swap differs,1,148,4.1717209815979,220,0.16191667318344116,0.10545477271080017,1.0,False,True,second-ahead,second-ahead,-8.44643783569336,-11.63021183013916,6.608138561248779,3.202392101287842,2ec94df6f000aa17,3dcaecb908041bd2,110
5,26631,32128,longitudinal-gap trend opposite;distance trend opposite,2,391,3.8521363735198975,542,0.1511874794960022,0.09776563197374344,0.9666666388511658,False,False,first-ahead,first-ahead,2.375476837158203,-4.007207870483398,2.377603530883789,-4.007074356079102,2ae07dce7fff481a,c94913fab513317e,110
6,75657,108768,longitudinal-gap trend opposite;distance trend opposite,2,274,4.30672025680542,560,0.17058010399341583,0.11366695910692215,0.8999999761581421,False,False,first-ahead,first-ahead,3.112041473388672,-3.3933773040771484,3.101774215698242,-3.3958492279052734,cd4711045683dc55,99a203a3783baab,110
7,91851,53660,future order differs;future order opposite,1,54,12.799287796020508,57,0.48203814029693604,0.3825950026512146,1.0,False,False,second-ahead,first-ahead,-5.909485816955566,-0.4705696105957031,6.5480804443359375,0.1578207015991211,b1a0c8adbdbd9fe4,7c8ba6d6a89e3f2f,110
8,78418,108478,distance trend opposite,2,109,6.086694717407227,158,0.2330087423324585,0.18113164603710175,1.0,False,False,first-ahead,first-ahead,4.39361572265625,-1.9497108459472656,4.310176849365234,-2.0588760375976562,5409bf7c34f10cd2,6707e625a019dcd0,110
9,59616,64955,order-swap differs;future order differs;future order opposite;longitudinal-gap trend opposite,1,210,7.50459623336792,490,0.30643191933631897,0.15361399948596954,0.9166666865348816,False,True,first-ahead,second-ahead,2.076981544494629,-9.140493392944336,1.8606901168823242,-1.9791646003723145,9c0460974501de54,f4008bf3bbcc026b,110
10,45139,37230,longitudinal-gap trend opposite;distance trend opposite,2,277,5.669252395629883,336,0.21811042726039886,0.15879416465759277,1.0,False,False,first-ahead,first-ahead,5.676128387451172,-2.7247543334960938,5.675281524658203,-2.732410430908203,efc846eb5fac803e,2ef199686b1aed0,110
