anchor_index,anchor_scenario_id,anchor_event_mode,anchor_zone_pet_s,rank,neighbor_index,neighbor_scenario_id,neighbor_event_mode,neighbor_zone_pet_s,rms_distance,common_valid_fraction
2,6501cae8a1947120,path_intersection,1.100000023841858,1,681,3bae3ba13f1b96e6,path_intersection,1.399999976158142,0.24954228103160858,0.699999988079071
2,6501cae8a1947120,path_intersection,1.100000023841858,2,8627,4555e36d55b7427a,path_intersection,3.5,0.4167335331439972,0.8500000238418579
2,6501cae8a1947120,path_intersection,1.100000023841858,3,3151,2bf2b3c8a6f72ca,path_intersection,2.4000000953674316,0.43768253922462463,0.8166666626930237
3,1dc26b7531fd9e2f,obb_contact_interval,2.1000001430511475,1,1233,289f421d714f043b,obb_contact_interval,2.200000047683716,0.04781704396009445,0.9666666388511658
3,1dc26b7531fd9e2f,obb_contact_interval,2.1000001430511475,2,8409,c997466ed993ff79,obb_contact_interval,1.899999976158142,0.05336301401257515,0.9166666865348816
3,1dc26b7531fd9e2f,obb_contact_interval,2.1000001430511475,3,5885,9621399b61453c0a,obb_contact_interval,1.600000023841858,0.06253620237112045,0.9666666388511658
4,218f7afef7c63186,path_intersection,0.0,1,6717,433038b2c698c709,path_intersection,0.6000000238418579,0.16066184639930725,1.0
4,218f7afef7c63186,path_intersection,0.0,2,9811,9da298e20c32782c,path_intersection,0.10000000149011612,0.1618381142616272,0.9666666388511658
4,218f7afef7c63186,path_intersection,0.0,3,1026,fd60942643c9434c,path_intersection,0.0,0.18812422454357147,0.8666666746139526
5,218f7afef7c63186,obb_contact_interval,0.0,1,8240,688baf741ed593b3,obb_contact_interval,0.0,0.3798540532588959,1.0
5,218f7afef7c63186,obb_contact_interval,0.0,2,1622,e11e05b51f97a1f9,obb_contact_interval,0.0,0.45392024517059326,0.800000011920929
5,218f7afef7c63186,obb_contact_interval,0.0,3,9066,cef90fd4a9a5568d,obb_contact_interval,0.0,0.45492833852767944,1.0
6,218f7afef7c63186,path_intersection,1.600000023841858,1,4723,40b27d6b6f3d3c72,path_intersection,1.8000000715255737,0.09406505525112152,1.0
6,218f7afef7c63186,path_intersection,1.600000023841858,2,4349,b7abfc4aa223c10d,path_intersection,1.8000000715255737,0.11505929380655289,1.0
6,218f7afef7c63186,path_intersection,1.600000023841858,3,6813,6cab233882d388b8,path_intersection,2.4000000953674316,0.16016556322574615,1.0
